Name,Tags
Laboca,"['Argentinian', 'Mezze', 'Lebanese', 'Bakery']"
Perfect Nutrition Center,"['Salad', 'Healthy', 'Soup']"
White Rose Chocolate,['Desserts']
Bab Al Salam Restaurant,"['Indian', 'BBQ', 'Grills']"
Turkish Yummys,"['Seafood', 'Mandi']"
Mr. Saltaa Restaurant,"['Sandwiches', 'Seafood', 'International']"
Texas De Brazil,"['Brazilian', 'Grills', 'International']"
The Cheesecake Factory,"['American', 'Burgers', 'Cakes']"
La Coctel,"['Beverages', 'Juices', 'Crepes']"
Laverita,"['Cakes', 'Bakery', 'Chocolate']"
Azaher Elteeb,['Pharmacy']
NEW AL SHOUROOK SWEETS & BAKERIES,"['Bakery', 'Sandwiches', 'Desserts']"
Tamarind Indian,"['Chinese', 'Biryani', 'Street food']"
Bu Shanab Restaurant,"['Pizza', 'Arabic', 'Sandwiches']"
Vazhiyoram Restaurant,"['Chinese', 'Biryani', 'Street food']"
Cafeteria Food Formula,"['International', 'Cafeteria', 'Sandwiches']"
Bravo Kids,['Toys']
Bold Coffee,"['Cafe', 'Desserts', 'Cakes']"
Poori & Karak,"['Street food', 'Arabic', 'Asian']"
Cranio Cafe,"['Qatari', 'Cafeteria', 'Cafe']"
Sea Bar Restaurant,"['Arabic', 'Filipino']"
Joja Barbecue,"['Egyptian', 'Arabic', 'Grills']"
Umm Salal Mohammed Modern Bakery,"['Pies', 'Burgers', 'Pizza']"
Royal Bravo Restaurant,"['Asian', 'Grills', 'Indian']"
Foul w hommos,['Arabic']
Baladana Al Shahban Kitchen,"['Burgers', 'Pasta', 'Steaks']"
Cuisines Catering,"['International', 'Desserts']"
Supplement House,['Supplement']
Wawan Protein,['Supplement']
Raju Omlet Center,"['Qatari', 'Curry', 'Street food']"
Moi for Sweet & Chocolate,"['Lebanese', 'Desserts', 'Breakfast']"
Pinoy Treats,"['Asian', 'Cafe', 'Desserts']"
Kulud Pharmacy,['Pharmacy']
Mopo Restaurant,"['Acai', 'Healthy', 'Bowls']"
Grill Town Restaurant,"['Grills', 'Arabic']"
Chtoura Restaurant,"['Turkish', 'Grills', 'Lebanese']"
Triple A Cafe,"['Cafe', 'Desserts', 'Breakfast']"
Scorpion Cafe,"['Cafe', 'Desserts', 'Beverages']"
Al Thouraya Restaurant,"['Foul', 'Breakfast', 'Arabic']"
Sckali Beauty,['Cosmetics']
O Grill,"['Arabic', 'Shawarma', 'Sandwiches']"
CUE Cafe,"['Ice cream', 'Desserts', 'International']"
Al Ahmadani Medical Service,['Cosmetics']
Cheval,"['Arabic', 'Breakfast']"
Al Naimi Cafeteria,"['Fast Food', 'Smoothies', 'Sandwiches']"
Batteel Café,"['Cafe', 'Arabic', 'International']"
Hanoverian,"['Chocolate', 'Desserts']"
Gardenia Flower,['Flowers']
Iris,"['American', 'Burgers', 'Fast Food']"
Perhaps Cafe,"['Coffee', 'Cafe', 'Beverages']"
100 Coffee,"['Coffee', 'Breakfast', 'Desserts']"
Chips & Dips,"['Burgers', 'Fast Food']"
Flavors Cafe & Restaurant,"['Pakistani', 'Italian', 'Indian']"
Nakhchivan Restaurant,"['Turkish', 'Grills']"
Big Diners Restaurant,"['Chinese', 'Bowls', 'Dumplings']"
Heritage House Restaurant,"['Indian', 'Fast Food', 'Biryani']"
Ichiban Dessert Cafe,"['Cafe', 'Beverages', 'Coffee']"
Baskin Robbins,"['Ice cream', 'Desserts']"
Domino's Pizza,"['Pizza', 'Fast Food', 'American']"
Marrakech Restaurant,"['Chicken', 'Grills']"
Bloomers,['Flowers']
Max's Restaurant,"['Chicken', 'Fast Food', 'Filipino']"
Tazza Blu Coffee,"['Cafe', 'Breakfast']"
Sushi On,"['Sushi', 'Noodles', 'Asian']"
Spar,"['Grocery', 'Hypermarket']"
Eyenk,['Specialty Store']
Fresh Meal Restaurant,"['Juices', 'Burgers']"
Hasan Kolcuoglu,"['Breakfast', 'Turkish']"
Bao Restaurant,"['Sandwiches', 'Japanese', 'Bowls']"
Salt,"['American', 'Burgers', 'International']"
Tea Valley,"['Cafe', 'Sandwiches', 'Burgers']"
Sudhan For Flowers,['Flowers']
Lantana,"['Cakes', 'Desserts', 'Chocolate']"
Al Noukhatha Kitchen,"['Indian', 'Grills']"
Jabal Lebanon Restaurant,"['Lebanese', 'Arabic', 'Shawarma']"
Noble Burgers,"['Burgers', 'Wings', 'American']"
Brunchai Cafe,"['Fast Food', 'Juices']"
Sidra Trading for Nuts and Coffee,"['Specialty Store', 'Supermarket', 'Roastery', 'Grocery']"
Morning Mood,"['Bahraini', 'Beverages', 'Arabic Sweets']"
Trattoria Italiana Restaurant,"['Italian', 'American', 'Burgers']"
Arman Kitchens Iranian Food,"['Iranian', 'Biryani', 'Grills']"
GYM MMG Mandirigima,"['Curry', 'Biryani', 'BBQ']"
Magnet Cafe,"['Cafe', 'Qatari']"
Dawaa Plus Pharmacy,"['Pharmacy', 'Supplement']"
Panama Coffee,"['Coffee', 'Cafe', 'Cakes']"
Fresh Mart Supermarket,"['Grocery', 'Supermarket']"
Meatsmith,"['International', 'BBQ', 'Grills']"
Turkiana Sweets,"['Speciality Store', 'Roastery', 'Nuts & Dried Fruit']"
Dee Truffles,"['Desserts', 'Cafe']"
Bryto Store,['Electronics']
New York Steakhouse,"['Steaks', 'American', 'Fast Food']"
Tawq Al Yasmin Restaurant,"['Syrian', 'BBQ', 'Grills']"
Qaryeh Zaman Al Khair Restaurant,"['Grills', 'Desserts', 'Breakfast']"
Vamos Cafe,"['Pizza', 'Chicken', 'Cafe']"
Gelato Divino,"['Ice cream', 'Desserts', 'Juices']"
Cheat Burger,"['American', 'Burgers', 'Fast Food']"
Healthy Wealthy,"['Healthy', 'Shawarma', 'Pizza']"
Fan Alzrbyan Restaurant,"['Arabic', 'Arabic Sweets', 'Seafood']"
Project HotDogs,"['Hot Dogs', 'American', 'Beverages']"
Grill Town Restaurant,"['Grills', 'Arabic']"
Nisrine Restaurant,"['Lebanese', 'Desserts', 'Arabic']"
Steam Cafe,"['Cafe', 'Beverages', 'Cakes']"
LaRosa Sweets,"['Desserts', 'Chocolate']"
Chocolate Empire,"['Chocolate', 'Desserts']"
Cheesy Dose Restaurant,"['Breakfast', 'Italian', 'Pizza']"
Ministry of Burger,"['Burgers', 'Fast Food', 'American']"
Camels Cafe,['Cafe']
Lose And Gain,"['Breakfast', 'Grills', 'International']"
Deqada,['International']
Toy Stop,['Toys']
Eliaa Restaurant and Sweets,"['Arabic', 'Breakfast', 'Desserts']"
Reason & Season,['Flowers']
The Paratha King Cafeteria,['Indian']
Samsung by RP Tech,['Electronics']
Kurinji Restaurant,"['Chinese', 'Biryani', 'Street food']"
Smoothie Factory,"['Fast Food', 'Smoothies', 'Sandwiches']"
Pistach & More Sweets & Flowers,['Flowers']
Dream Tea,"['Burgers', 'Cafeteria']"
Turkan Restaurant,"['Italian', 'Burgers']"
Cocktail Beirut,"['Burgers', 'Cafeteria']"
Rice & Bread,"['Chinese', 'Noodles', 'Seafood']"
Tasty Rooster Restaurant,"['Asian', 'Biryani', 'Street food']"
Abu Shakir Juice,"['Juices', 'Fruits', 'Beverages']"
1614 Coffee,"['Cafe', 'Desserts', 'Beverages']"
Ennabi 92,"['Sandwiches', 'Breakfast']"
The Kitchen by The Cooking Academy,"['Burgers', 'Fast Food']"
Chocolataria Equador,"['Chocolate', 'Coffee']"
Karak Mqanes Signature,['Arabic']
Magic Wok,"['Indian', 'Curry', 'Salad']"
Duhail Food centre,"['Grocery', 'Supermarket']"
Maestro Chef,"['Sandwiches', 'International', 'Breakfast']"
Al Wakrah Popular Fish Restaurant,['Seafood']
Oakberry Acai,"['Acai', 'Healthy', 'Smoothies']"
Chef Al Shawarma,['Arabic']
Indian Family Restaurant,"['Street food', 'Sandwiches']"
Burger Al Taybeen,"['American', 'Burgers']"
Desert Palace,"['Fast Food', 'Sandwiches', 'Beverages']"
Ali Baba Turkish Restaurant,['Turkish']
Cerutti il Caffe,['Cafe']
Season Restaurant  (Al Sadd),"['Burgers', 'Fast Food']"
Indian Grill House Restaurant,"['Kebab', 'Grills']"
Wagamama Restaurant,"['Noodles', 'Japanese', 'Asian']"
Namlet Al Doha Al Shaabi,"['Biryani', 'Chicken', 'Curry']"
Kava Cafe,"['Cafe', 'Desserts', 'Cakes']"
New Kanthari Restaurant,"['Breakfast', 'BBQ']"
Wakra Salt and Pepper,"['Indian', 'Noodles', 'Chicken']"
Al Naimi Cafeteria,"['Fast Food', 'Smoothies', 'Sandwiches']"
Noor Turkey Restaurant,"['Doner', 'Street food']"
Amaravathi Restaurant,"['Breakfast', 'BBQ']"
Origami Cafe,"['Desserts', 'Japanese', 'Cafe']"
Himalayan Bees Restaurant,"['Chinese', 'Noodles', 'Seafood']"
Afghani Union Mandi Restaurant & Popular Cuisine,"['Qatari', 'Mandi', 'Grills']"
Health And Life Pharmacy,['Pharmacy']
Lavish,"['Mandi', 'Breakfast', 'Indian']"
Karak Spicy,"['Breakfast', 'Sandwiches', 'Desserts']"
Turkiana Sweets,"['Speciality Store', 'Roastery', 'Nuts & Dried Fruit']"
Top Burger Original,['Burgers']
Al Thahira Cafeteria Juice Stall,"['Burgers', 'Cafeteria']"
La Mar,"['Fish & chips', 'Peruvian', 'Seafood']"
Total Care Pharmacy,['Pharmacy']
Hot Bowl Restaurant,"['Chinese', 'Bowls', 'Dumplings']"
Trabzon Restaurant,"['Turkish', 'BBQ', 'Grills']"
Al Bahja Traditional Kitchen,['Qatari']
Oriental bowl,"['Curry', 'Indian', 'Bowls']"
Tamils Restaurant,"['Noodles', 'Seafood']"
Live Fish,['Speciality Store']
Gulf Colours Flowers,['Flowers']
Cloud & Co.,"['Gelato', 'Cafe', 'Desserts']"
Bayt Al Fatayer,"['Breakfast', 'Pizza']"
Shawarma Shaheen,"['Shawarma', 'Doner', 'Arabic']"
Wow Burger,"['Sandwiches', 'Fast Food', 'Burgers']"
Tuile,"['Cafe', 'Desserts']"
Zam Zam Kitchen,"['Qatari', 'Mandi', 'Grills']"
Trader Vic's,"['Grills', 'Asian', 'Sushi']"
Black Beard,"['Pastries', 'Cafe', 'International']"
Chocolate Jar,"['Desserts', 'Chocolate', 'Beverages']"
Cedar of Lebanon Butchery,"['Specialty Store', 'Supermarket', 'Fresh Meat & Fish', 'Grocery']"
The Last Pizza,"['Pizza', 'Wings', 'American']"
Cafeteria As You Like,"['Noodles', 'Soup', 'Chicken']"
Chennai Spices Restaurant,"['Asian', 'Soup']"
Juice Shack,"['International', 'Juices']"
Dhe Biriyani - Smaisma Cafe,"['Salad', 'Breakfast']"
Baba Chapatea,"['Breakfast', 'Burgers', 'Sandwiches']"
Eliaa Restaurant and Sweets,"['Arabic', 'Breakfast', 'Desserts']"
Orange Buffalo,"['Burgers', 'Sandwiches', 'Fried Chicken']"
Boishakhi Restaurant,"['Indian', 'Chinese', 'Arabic']"
Shogol Betna,"['Qatari', 'Fast Food', 'Mandi']"
Jana Fruit & Veg,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
Arabica,"['Coffee', 'Cafe', 'Cakes']"
Cafe Noir,"['Beverages', 'Cafe', 'Desserts']"
Mini Croissant,"['Cafe', 'Desserts', 'Bakery']"
O Burger,"['American', 'Burgers', 'Fast Food']"
Abo Shariha,"['Breakfast', 'Sandwiches', 'Bakery']"
Shawarma House,"['Turkish', 'Shawarma', 'Sandwiches']"
Beit Jeddi Restaurant,"['Arabic', 'Shawarma', 'Lebanese']"
Mushairib Kitchens,"['Arabic', 'Qatari']"
The Coffee Bean & Tea Leaf,"['Coffee', 'Cafe', 'Desserts']"
Twins Smashed Patties,"['Burgers', 'International', 'American']"
Green and Go,"['Sandwiches', 'Healthy', 'Smoothies']"
Zia Ul Haq Chicken,"['Specialty Store', 'Supermarket', 'Fresh Meat & Fish', 'Grocery']"
Kachi Restaurant,['Asian']
Copacabana Restaurant,"['Seafood', 'Kebab']"
Yemen Hadhramout,"['Yemeni', 'Desserts', 'Arabic']"
Healthy Juice,"['Beverages', 'Sandwiches']"
Desert Palace,"['Fast Food', 'Sandwiches', 'Beverages']"
Petunia Flowers And Gifts,['Flowers']
Koozi,"['Arabic', 'Beverages', 'Desserts']"
Lomi Spicy Restaurant,"['Fast Food', 'Sandwiches', 'Beverages']"
Desert Rose,"['Chicken', 'Salad']"
Rollstar shawarma & falafel,"['Lebanese', 'Shawarma', 'Breakfast']"
Poffertjes,"['Pancakes', 'Desserts', 'Beverages']"
The Butcher Shop and Grill,"['Steaks', 'Grills']"
Al Thawq Al Moutamaiz Kitchen,"['Qatari', 'BBQ', 'Grills']"
Staybridge Shop,"['Grocery', 'Supermarket']"
Royal Tea Restaurant,"['Arabic', 'Fast Food', 'Sandwiches']"
Kava Cafe,"['Cafe', 'Desserts', 'Cakes']"
Hdyati Flower Shop,['Flowers']
Lemdiina Coffee Shop,"['Sandwiches', 'Breakfast', 'Cafe']"
Creme & Butter,"['Cafe', 'Sandwiches', 'Desserts']"
Himalayan Bees Restaurant,"['Chinese', 'Noodles', 'Seafood']"
Dar Al Maazeem,"['Arabic', 'Grills', 'Qatari']"
Barahat Elfarej,"['Coffee', 'Cafe']"
Toasted Food And Coffee,"['Fast Food', 'Coffee', 'Desserts']"
Egg Squared,"['Sandwiches', 'Desserts', 'Breakfast']"
Sinyar Cafe,"['Cafe', 'Desserts', 'Coffee']"
As You Like,"['Asian', 'Cafeteria', 'Biryani']"
Jumbo Souq,['Electronics']
The Public Kitchen,"['Desserts', 'Beverages', 'Cafe']"
Jamie Oliver's Pizzeria,"['Pizza', 'Italian']"
Toscana,"['Cakes', 'Desserts', 'Chocolate']"
Royal Chef,"['Indian', 'Asian']"
Matafi Cups,['American']
AL Majles AL Arabi,"['Egyptian', 'Breakfast', 'Grills']"
Um Ali and more,"['Arabic Sweets', 'Coffee', 'Cakes and Desserts']"
House of Tea Restaurant,"['Fast Food', 'Smoothies', 'Sandwiches']"
Calibre,"['Healthy', 'Cafe', 'Desserts']"
Project Pizza,"['Pizza', 'Breakfast', 'Italian']"
Al Dar Optics,['Optics']
Pizza Mr Shanab,"['Pizza', 'Pasta']"
Baha,['Egyptian']
Turkiye Kebab,"['BBQ', 'Grills']"
Big Dine,"['Chinese', 'Bowls', 'Dumplings']"
Shawerma Feras Restaurant,"['Arabic', 'Sandwiches']"
Wyndham,"['Mezze', 'Bakery', 'Mexican']"
Curry N Hurry,['Indian']
Caffe Concerto,"['Coffee', 'Cakes']"
Hen Made,['Burgers']
Bab Al Salam Restaurant,"['Indian', 'BBQ', 'Grills']"
Farm King Vegetable,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
Sameera Restaurant,"['Qatari', 'Indian', 'Breakfast']"
Barrad Ala Qalbak,"['Beverages', 'Cafe', 'Desserts']"
Ansar Gallery,"['Grocery', 'Hypermarket']"
Al Qusaimi Meat Corporate,"['Specialty Store', 'Supermarket', 'Fresh Meat & Fish', 'Grocery']"
Dar Al Karam,"['Qatari', 'Salad', 'Grills']"
Yemeni House,"['Yemeni', 'Biryani', 'Arabic']"
Hapag Restaurant,['Asian']
Burger And Burmait,"['American', 'Burgers']"
Al Saj Al Shami,"['Syrian', 'Manaqeesh', 'Grills']"
Ananas Supermarket,"['Grocery', 'Supermarket']"
Shiso Burger,"['Burgers', 'Asian', 'American']"
Greens Restaurant,"['Asian', 'Biryani', 'Street food']"
Big Rooster Fried Chicken,"['American', 'Burgers', 'Fried Chicken']"
Pakistani Restaurant,"['Breakfast', 'BBQ']"
Icy Bun,"['Ice cream', 'Desserts', 'International']"
Joyful Boxes,['Flowers']
Grey Speciality Coffee,"['Cafe', 'Sandwiches', 'Desserts']"
Bye Bye Restaurant,"['Burgers', 'Dumplings', 'Tea']"
Alnaser Trading And Distribution,['Cosmetics']
Al Bajrawiyya Restaurant,['Arabic']
Papa John's,"['Pizza', 'Fast Food', 'American']"
Sandwich Factory,"['International', 'Grills', 'Sandwiches']"
Eat N Joy Restaurant,"['BBQ', 'Grills']"
Dates Bread Cafeteria,"['Qatari', 'Cafeteria', 'Sandwiches']"
Spring Camel Restaurant,"['Burgers', 'Fast Food']"
New My Mart,"['Grocery', 'Supermarket']"
Carluccio's,"['Pizza', 'Healthy', 'Italian']"
Elevation Burger,"['Burgers', 'Fast Food', 'American']"
Vortex Coffee shop,"['Cafe', 'Beverages', 'Pancakes']"
Poffertjes,"['Pancakes', 'Desserts', 'Beverages']"
Al Saraya Turkish Restaurant,"['Fast Food', 'Shawarma', 'Grills']"
Waffle Rush,"['Breakfast', 'Desserts']"
Ananas,"['Biryani', 'Sandwiches', 'Curry']"
Mojito And Sweets Cafe,"['Cafe', 'Coffee']"
Royal Mehfil Restaurant,"['Breakfast', 'BBQ']"
Khan L Konafa,"['Arabic Sweets', 'Cakes', 'Cafe']"
Greens Restaurant,"['Asian', 'Biryani', 'Street food']"
Sridan by JW Marriott,"['Salad', 'Breakfast', 'Healthy']"
Uncle Raj Restaurant,"['Snacks', 'Curry', 'Biryani']"
Do Cafe,"['Coffee', 'Desserts']"
Joyous Partners Delizia,"['Indian', 'Chinese', 'Sandwiches']"
Suisse Chalet Restaurant And Cafe,"['Street food', 'Sandwiches']"
Baghdad Kitchens,"['Iraqi', 'Grills', 'Fast Food']"
Karak Mudeer,"['Cafe', 'International', 'Breakfast']"
Healthy Wealthy,"['Healthy', 'Shawarma', 'Pizza']"
Fluffy Bunny,"['Cafe', 'Coffee']"
Qure,"['Salad', 'Healthy', 'Bowls']"
Hilal Khaleej,"['Fast Food', 'Juices', 'Sandwiches']"
Cappi Chai,"['Fast Food', 'Snacks', 'Sandwiches']"
Al Sidra Fruits & Vegetables,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
Caribou Coffee,"['Cafe', 'Smoothies', 'Coffee']"
Jamavar,"['Indian', 'Curry', 'Biryani']"
Coffee Bike,"['Cafe', 'Beverages', 'Juices']"
Qamar Beirut,"['Chicken', 'Grills']"
Al Kheesa Pharmacy,['Pharmacy']
La Villa Mediterranean Restaurant,"['International', 'Fast Food', 'Sandwiches']"
Aldana's Table,"['Cafe', 'Desserts', 'Beverages']"
Candy Time Sweet Chocolate,['Chocolate']
Fatayer Al Tayer,"['Manaqeesh', 'Bakery', 'Arabic']"
Biscotti Bakery Shop,"['Cakes', 'Pastries', 'French']"
Madhaq,"['Arabic', 'Pies', 'Bakery']"
Street Feast,"['Mandi', 'Seafood']"
Grasp,"['Burgers', 'American', 'Breakfast']"
Delicious Burger Hut,"['Burgers', 'Sandwiches', 'Fast Food']"
Al Karawan,"['Egyptian', 'Shawarma', 'Pastries', 'Doner', 'Breakfast', 'Grills', 'Sandwiches']"
New Shaheen Restaurant,"['Pakistani', 'BBQ', 'Indian']"
Barrio Fiesta,"['Fried Chicken', 'Bowls', 'Filipino']"
Absolute Barbecue,"['Indian', 'Beverages', 'Grills']"
Al Koufa Restaurant And Cafe,"['Qatari', 'BBQ', 'Grills']"
Value Zone Icon Electronics,"['Electronics', 'Accessories ']"
Alkhair Fish restaurant,"['Biryani', 'Grills', 'Seafood']"
Nables Restaurant,"['Palestinian', 'Beverages', 'Snacks']"
Eglantria Trading and Events,"['Flowers', 'Specialty Store']"
Lahmajun,"['Arabic', 'BBQ', 'Grills']"
Al Roda Food Station,"['Sandwiches', 'Beverages', 'Pastries & Sweets']"
Chapati Rashid,"['Qatari', 'Grills', 'Sandwiches']"
Bondi Burgers,"['Street food', 'Sandwiches', 'Asian']"
Vamos Cafe,"['Pizza', 'Chicken', 'Cafe']"
Nourish,['Healthy']
Jwala,"['Indian', 'Curry', 'Biryani']"
Brothers Trading Perfume,"['Perfume', 'Cosmetics']"
The shaq,['Mexican']
Dosa King Restaurant,"['Breakfast', 'BBQ']"
Palestine Cafeteria,"['Qatari', 'Breakfast', 'Sandwiches']"
Éldora Chocolatier,"['Flowers', 'Chocolate']"
Chocolate Jar,"['Desserts', 'Chocolate', 'Beverages']"
Upside Down,"['Cafe', 'International', 'Beverages']"
Right Bite,"['Healthy', 'Beverages', 'Salad']"
Fuddruckers,"['Burgers', 'Sandwiches']"
Vox Cinemas Doha Oasis,"['Snacks', 'Burgers', 'Beverages']"
Al Sidra Fruits & Vegetables,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
Cucina,"['Pizza', 'Seafood', 'Italian']"
Bo's Coffee,"['Cafe', 'Beverages', 'Cakes']"
Tmakhmikha,"['International', 'Arabic']"
Msian Cafe,"['Cafe', 'Coffee']"
Lavania,"['Flowers', 'Grocery']"
Bluefin Grocery,"['Grocery', 'Supermarket', 'Convenience Store']"
Mohamis Macadamia,"['Specialty Store', 'Supermarket', 'Grocery']"
Open Arabia,"['Mezze', 'Grills', 'Turkish']"
Restaurant And Kitchen Al Qaisi For Banquest Events And Daily Food,"['Mezze', 'Grills', 'Arabic']"
Laya Flower,['Flowers']
Hapag Kainan,['Filipino']
Tuba Restaurant,"['Qatari', 'Coffee', 'Desserts']"
Elhaty,"['Breakfast', 'Sandwiches', 'Fast Food']"
Baker House,"['Sandwiches', 'Bakery']"
Papa Kanafa,"['Arabic Sweets', 'Desserts']"
Madd W Jazzer Restaurant,"['Grills', 'Sandwiches']"
Earth Roastery,"['Specialty Store', 'Supermarket', 'Roastery', 'Grocery']"
Himalayan Restaurant,"['Asian', 'Indian', 'Chinese']"
Safwa,"['Specialty Store', 'Supermarket', 'Fruits & Vegetables', 'Grocery']"
Enjoy sweet,"['Qatari', 'Cakes', 'Desserts']"
Amore Cafe,"['Qatari', 'Fast Food', 'Pizza']"
Solo Specialty Coffee,"['Coffee', 'Cafe', 'Cakes']"
Forn AlKabaz For Pies And Pastries,"['Pastries & Sweets', 'Pizza']"
Lebami Ornaments,"['Cosmetics', 'Specialty Store']"
Karaki,"['Desserts', 'Cakes', 'Cafe']"
Shanab Cafe,"['Noodles', 'Beverages']"
Novo Cinemas,"['Burgers', 'Desserts']"
Lakbima,"['Asian', 'Noodles', 'Juices']"
Revan Sweets And Flowers,"['Flowers', 'Grocery', 'Specialty Store', 'Supermarket', 'Chocolate']"
Something Healthy,"['Healthy', 'Bowls', 'Breakfast']"
Mr. Shawarma,"['Shawarma', 'Doner', 'Arabic']"
Karak Nadia,"['Arabic', 'Breakfast']"
Hot Spot,"['Burgers', 'Cafe', 'Sandwiches']"
Alkhair Fish restaurant,"['Biryani', 'Grills', 'Seafood']"
Abocado,"['Mexican', 'Tacos', 'Grills']"
Malak Al Tawouk,"['Lebanese', 'Sandwiches']"
Star of India,"['Curry', 'Snacks']"
Al Najaath Pharmacy,['Pharmacy']
Cappi Chai,"['Fast Food', 'Snacks', 'Sandwiches']"
Trust The Process Smart Gadgets,['Electronics']
Ministry of Burger,"['Burgers', 'Fast Food', 'American']"
Al Aziziya Pharmacy,['Pharmacy']
Karak Makani,"['Sandwiches', 'Indian', 'Cafeteria']"
Shawarma Al Zaem,"['Arabic', 'Shawarma', 'Sandwiches']"
Express Grocery,"['Grocery', 'Supermarket']"
Asha's,['Indian']
Eliaa Restaurant and Sweets,"['Arabic', 'Breakfast', 'Desserts']"
Al Jud Castle,"['Arabic', 'Shawarma', 'Grills']"
Kadavu Restaurant & Grill,"['Asian', 'Pasta', 'Soup']"
Gulf Center For Food Arts & House Keeping,"['Arabic', 'Koshary', 'Biryani']"
Dar Al Maazeem,"['Arabic', 'Grills', 'Qatari']"
Cherry Beans,"['Beverages', 'Coffee', 'Desserts']"
Mr. Max Animal Care,['Pet Shop']
Mimz Flowers & Chocolate,['Flowers']
